Date,Title,Location,Company,Min Exp,Max Exp,Min Salary,Max Salary,Skills
2024-06-01,Data Systems Analyst, remote,Intone Networks,5.0,7.0,,,"Project management,Downstream,System analysis,Claims,Data management,Software development life cycle,Data analysis,operational support,Test cases,SDLC"
2024-06-01,Business Analyst," Noida,Uttar Pradesh",Quality Austria Central Asia (QACA),1.0,4.0,2,3.5,"Reporting,Business Analysis,Power Bi,Coordination,Strategic Planning,Research Analysis,Dashboards,Data Visualization,Excel,Data Analysis"
2024-06-01,Infrastructure Specialist: AWS Platform,,unknown,,,,,"aws,server migration,Alibaba,data science,Oracle,Cloud computing,azure,Technical architecture"
2024-06-01,Sofware Development Engineer-Angular (Immediate Joiners only), Bengaluru,Healthcare Industry,4.0,6.0,10,14.0,"Angular,IOS,Frontend Development,Android,Backbone.Js,React.Js,Restful Web Api Development,Flutter"
2024-06-01,.Net Lead, Coimbatore,Infosys,5.0,8.0,,,"WPF,SQL Server,MVC,.Net,WCF,Design Patterns,team handling,GIT,ASP.Net"
2024-06-01,Data Engineer,,unknown,,,,,"Data migration,Data structures,Unit testing,Big Data,Unix shell scripting,Business intelligence,MS-Azure Cloud,SQL,Agile,Informatica,Python"
2024-06-01,Senior Data Scientist," New Delhi,Delhi",Raptor Supplies,2.0,5.0,7,17.0,"Deep Learning,Data Structures And Algorithms,LLMs,Data Scientist,Data Science,NLP,Open AI,Machine Learning,Python"
2024-06-01,Android Testing - Automation Professional, Bangalore/Bengaluru,Leading Client,3.0,8.0,,,"Test Development Engineer,robot framework,Automation,Automation scripts,android,python,automation testing,automation framework"
2024-06-01,Marketing Analyst ( Lead ), Gurgaon/Gurugram,IGT Solutions,8.0,12.0,,,"Java,Social media,marketing research,corporate communication,Marketing,Content writing,Adobe Analytics,Campaign management,Web analytics"
2024-06-01,Lead Associate - Quality, Karnataka,IGT Solutions,5.0,9.0,,,"data processing,visio,Quality Assurance,data analysis,business process analysis,business analysis,application support"
2024-06-01,GCP Big Data Engineer, Hyderabad/Secunderabad,Synechron,4.0,9.0,,,"Data processing,Technical support,Manager Quality Control,Data quality,Data analysis,Reporting tools,big data,Troubleshooting,Python"
2024-06-01,DataStage Developer," Hyderabad, Pune,Maharashtra, Bengaluru",Tech Mahindra,6.0,11.0,15,25.0,"Etl Datastage,Datastage,LLD,Data Engineering,HLD,Netezza,ETL Testing,Shell Scripting,SQL,Unix,Teradata,Oracle,Redshift Aws,Data Warehousing"
2024-06-01,Android Automation Tester Engineer, Bangalore/Bengaluru,Leading Client,1.0,5.0,,,"test development,robot framework,Automation,automation testing,cucumber,python,test management,automation framework"
2024-06-01,Data Modeler, Chennai,Bizanalytica,5.0,10.0,,,"Data modeling,Information technology,SSIS,CRM,SQL,Stored procedures,SSRS,Coding,Troubleshooting,Python"
2024-06-01,Executive Business Excellence, Mumbai (All Areas),Transasia Bio Medicals,1.0,4.0,3.5,5.0,"Business Process Improvement,process improvement,Business Excellence,Project Management,root cause analysis"
2024-06-01,Analyst," Mumbai,Maharashtra",Jobs Territory,0.0,5.0,2.5,7.5,"Market Risk,Analytical,Automation,Market Data,Macros,Operations,Auditing,Stress Testing,Monitoring,Risk Assessment"
2024-06-01,Data Engineer, Bangalore/Bengaluru,Schneider Electric,2.0,5.0,,,"Project management,Process automation,Business intelligence,SQL,ETL tool,Channel sales,data visualization,Database design,MS Access,Analytics"
2024-06-01,Machine Learning Application Developer,,unknown,,,,,"application development,MVP,Computer vision,Statistical modeling,Production Machine learning,Machine learning,NLP,Python"
2024-06-01,Product Manager - Data & Analytics | Leading IT Co. | Pune," Nashik,Maharashtra, Pune,Maharashtra, Mumbai (All Areas)",Hiring for - Leading IT Co. ,3.0,8.0,,,"Business Intelligence,Aiml,Data Analytics,Data Visualization,Equity Research,Process Improvement,Analytics,Team Building,Data Analysis,Product Management,Change Management,SQL,KPI,Modeling,Market Intelligence,Bi,Okrs,Product Manager,Data Lake,Data Ingestion,Pipeline"
2024-06-01,SaaS Support Engineer,,unknown,,,,,"Technical support,System administration,Android,iOS,macOS,Office 365,troubleshooting,SaaS"
2024-06-01,Data Scientist: Artificial Intelligence,,unknown,,,,,"data modeling,Artificial Intelligence,Data Analytics,Data Scientist,Tableau,statistical modeling,Python,algorithms"
2024-06-01,Urgent Opening For Data Scientist," Pune,Maharashtra",Peoplefy Infosolutions,8.0,13.0,,,"sentiment analysis,Natural Language Processing,deep learning"
2024-06-01,Cognos Developer," Pune,Maharashtra",Product company,3.0,8.0,,,"Query Studio,Cognos Framework Manager,cognos anaytics,Report Studio"
2024-06-01,Natural Language Processing (NLP) AI Platform Engineer,,unknown,,,,,"deep learning,Neural networks,Enterprise architecture,RNN,LSTM,Translation,Natural language processing,Machine learning,NLP,ML,Python"
2024-06-01,Microsoft Power BI Application Developer,,unknown,,,,,"application development,problem solving,sql server,Power BI,application design,microsoft power bi,ssas"
2024-06-01,Cloud Migration Architect – Teradata,,unknown,,,,,"Cloud Migration,teradata,AWS"
2024-06-01,Data Analyst," Gurugram,Haryana",Policybazaar,2.0,7.0,11,20.0,"SQL Queries,Data Analytics,SQL,Data Analysis"
2024-06-01,Data Scientist (Analytic Engineer), Bangalore/Bengaluru,APPLIED AND INTEGRATED MANUFACTURING (INDIA) PRIVATE LIMITED,4.0,7.0,,,"Analytical,Business intelligence,Data analysis,Database management,data visualization,Agile,Schema,microsoft,Python"
2024-06-01,Microsoft Power BI Application Developer,,unknown,,,,,"troubleshooting skills,application development,report development,Power BI,Data visualization,etl,azure data factory,microsoft power bi,Microsoft SQL Report development"
2024-06-01,Senior Data Engineer," Mumbai,Maharashtra",Go Digital Technology,4.0,8.0,,,"Spark,Big Data,Pandas,SQL,Pyspark,Data Pipeline,Kafka,Python,Data Analysis"
2024-06-01,Azure Data Architect - IaaS/PaaS/SaaS, Pune,Leading Client,8.0,12.0,,,"Azure ARM,Machine Learning,Microsoft Azure,Power BI,azure data architecture,Artificial Intelligence,IaaS,Data Analytics,PaaS,Data Science,Azure API,Azure Stream Analytics,SaaS,Azure Databricks"
2024-06-01,Package Consultant: SAP UX,,unknown,,,,,"CSS,Javascript,Android,sap,java,HTML5,ios,SyBase,objective c,Objective-C,windows mobile,UI/UX"
2024-06-01,CRO Developer," Bengaluru,Karnataka",Brainlabs,3.0,8.0,10,20.0,"CSS,HTML,Ab Testing,Javascript,React.Js,Vue.Js,Frontend Web Development"
2024-06-01,Lead Data Engineer," Mumbai,Maharashtra",Go Digital Technology,6.0,11.0,,,"Hadoop,Spark,Big Data,Pandas,SQL,Pyspark,Data Pipeline,Kafka,Python,Data Analysis"
2024-06-01,Senior Full Stack Developer (Frontend)," Pune,Maharashtra",Iprogrammer Solutions,6.0,8.0,,,"Front End,React.Js,Nextjs,Node.Js"
2024-06-01,Mis Executive," Ahmedabad,Gujarat",Our Esteem Client.,1.0,6.0,,,"Broking,MIS Reporting,Data Analytics,Look Ups,Back Office,Analyst,Ahmedabad,Data Mining,Advanced Excel,HLOOKUP,Sales Coordination,Research,MIS,MIS Generation,Pivot Table,VLOOKUP,MIS Operations,Formulas,Excel,Financial Markets,Mutual Fund,MS Office,data entry,Data Analysis"
2024-06-01,Cognos Developer," Pune,Maharashtra",Product company,3.0,8.0,,,"Query Studio,Cognos Framework Manager,cognos anaytics,Report Studio"
2024-06-01,Data Engineer/Data Science, Bangalore/Bengaluru,Synechron,3.0,6.0,,,"Technical support,Information technology,Software development life cycle,Software solutions,data science,Agile,Project planning,Python,SDLC"
2024-06-01,Kotlin Programming Language Application Developer, Kolkata,Accenture,4.0,6.0,,,"Java,Node.js,Multithreading,React JS,J2EE,Android,C++,Kotlin,Objective-C,Swift,Angular JS,OOPS"
2024-06-01,Manager Employee Wellness - Blue Chip - Bangalore, Bengaluru,LNS Global,7.0,8.0,,,"Employee Wellness,Healthcare Management,Health Promotion,Wellness,Health Care Services,Public Health"
2024-06-01,Application & Data Integration Engineer || Workato," Pune,Maharashtra","
ALTAA- VISTAA BUSINESS SOLUTIONS PVT LT...",3.0,8.0,,,"SQL,Ci/Cd,Azure,Workato"
2024-06-01,Urgent Opening For AI Engineer in Computer Vision (Fresher), Delhi / NCR,Mapmyindia,0.0,1.0,,,"Linux,Pytorch,Artificial Intelligence,Data Science,Machine Learning,Tensorflow,Keras"
2024-06-01,Manager - Internal Auditor with WPP India," Gurugram,Haryana, Mumbai (All Areas)",WPP,6.0,10.0,20,35.0,"SOX Compliance,Process Audit,Business Process Review,Internal Control Review,Internal Audit,Data Analytics,Risk Advisory,Sox Audit,Internal Control,Risk Assurance,Internal Financial Control"
2024-06-01,Asst/Deputy Mgr Supplier Quality Stamping Tool Design Die Making MNC," Pune,Maharashtra",German MNC,5.0,10.0,,,"Tool Die,nttf,Die Making,Supplier Quality,igtr,Sheet Metal,QMS,plastic commodity,Pqa,PPC,PPAP,99ppm,Tool Manufacturing,Stamping,gttc"
2024-06-01,General Manager Quality, Gurgaon/Gurugram,IGT Solutions,2.0,16.0,,,"Power BI,Quality Management,general management,bpo operations,customer service,back office,Black Belt,Six Sigma,business process outsourcing"
2024-06-01,It Business Analyst," Kochi,Kerala",Psn Mentor And Career,4.0,8.0,7,8.0,"Business Analysis,Business Analytics,Agile Methodology,IT Project Management,It Business Analysis,Sprint Planning"
2024-06-01,Senior Analyst Quality Assurance," Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Gianteagle,5.0,7.0,,,"Testing,Business strategy,Backend,System testing,Automation,Quality Assurance Analyst,Merchandising,Test scripts,Debugging"
2024-06-01,Android Testing - Automation Professional, Bangalore/Bengaluru,Leading Client,3.0,8.0,,,"Test Development Engineer,robot framework,Automation,Automation scripts,android,python,automation testing,automation framework"
2024-06-01,Forecasting Analyst," Mumbai,Maharashtra",Enrich and Enlight,3.0,7.0,,,"Capacity Planning,Forecasting Analyst,Resource Planning,MS Excel,Time Series Forecasting,Data Science,Forecasting,IEX,Python,Verint"
2024-06-01,Android Automation Tester Engineer, Bangalore/Bengaluru,Leading Client,1.0,5.0,,,"test development,robot framework,Automation,automation testing,cucumber,python,test management,automation framework"
2024-06-01,Fullstack Developer, Bengaluru,Cab Ride LLP,5.0,10.0,4,9.0,"Payment Gateway Integration,Payment Gateways,Php Laravel,Dart,Firebase,Flutter"
2024-06-01,Technical Lead in area of Data Warehousing/Business Intelligence, Bangalore/Bengaluru,Tech Mahindra,5.0,8.0,"50,000",3.0,"Analytics,ETL,data modeling,netezza,business intelligence,datastage,AWS Redshift,technical lead,unix shell scripting,Data Warehousing"
2024-06-01,Senior Data Engineer," Bangarapet,Karnataka, Bangalore Rural,Karnataka, Bangalore/ Bengaluru,Karnataka",Vuca Consulting,4.0,7.0,7,13.0,"Dax,Data Engineering,Power Bi,Data Integration,SQL Development,Data Transformation,Azure Sql Dw,SQL,Power Bi Reports,Agile Methodology,Azure Storage,Data Pipeline,Dashboards,Storage Account,Azure Data Factory,Azure Synapse,Data Modeling,Azure Databricks"
2024-06-01,Mis Executive," Gurugram,Haryana",Talent Corner Hr Services,1.0,4.0,2,5.0,"MIS Reporting,Advance excel,Process Optimization,Data Analysis"
2024-06-01,Risk Analyst (EFI - Emerging Financial Institutions), Chennai,Sundaram Finance (SFL),3.0,7.0,,,"Risk Evaluation,Financial Analysis,Risk Analysis,Data Analysis"
2024-06-01,Android Application Developer, Hyderabad,Mobis India,5.0,10.0,12,22.0,"Java,Jtest,Android,JUnit,Kotlin"
2024-06-01,Lead Data Engineer," Mumbai,Maharashtra",Go Digital Technology,1.0,20.0,,,"Hadoop,Spark,Big Data,Pandas,SQL,AWS,Pyspark,Kafka,Python,Data Analysis"
2024-06-01,Job Openings For AVP IT SOX Manager with Top MNC- WFH, Hyderabad/Secunderabad,Enrich and Enlight  ,7.0,12.0,,,"IFC,SOX Testing,SOX Compliance,IT General Controls,ITGC,Financial Control,IT Internal Audit,SOX"
2024-06-01,Fullstack Engineer," Pune,Maharashtra",Neoskills Technology,2.0,7.0,3.25,8.0,"Data Science,Azure Devops,Machine Learning,Python,AWS"
2024-06-01,Android Application Developer, Hyderabad,Mobis India,9.0,12.0,15,27.5,"Telematics,Java,Automotive Infotainment,Android,Jetpack,Kotlin,HMI,GUI,Infotainment"
2024-06-01,Knowledge Scientist in Biology and Medicine," Kochi,Kerala",Causality Biomodels,0.0,2.0,,,"Microbiology,Biotechnology,Molecular Biology,Bioinformatics,Knowledge Management,Data Curation,Ontology,Computational Biology,Life Sciences,Enzymology,Proteomics,Cell Biology,Drug Discovery,Data Science,Biochemistry,Immunology,Literature Survey,Biology,Data Analysis"
2024-06-01,DataStage Developer," Hyderabad, Pune,Maharashtra, Bengaluru",Tech Mahindra,6.0,11.0,15,25.0,"Etl Datastage,Datastage,LLD,Data Engineering,HLD,Netezza,ETL Testing,Shell Scripting,SQL,Unix,Teradata,Oracle,Redshift Aws,Data Warehousing"
2024-06-01,Android /Linux Application Development, Hyderabad,Mobis India,6.0,10.0,12,22.0,"Linux,Telematics,QT,OTA,Android,Qml,C++,HMI,GUI,Infotainment"
2024-06-01,Aws Data Engineer (Pyspark Must)," Hyderabad/ Secunderabad,Telangana, Chennai",Kiash Solution Llp,4.0,9.0,15,25.0,"S3,Hive,KMS,AWS RDS Instances,Glue,Scala,Spark,Hbase,IAM,Terraforms,Pyspark,Flume,AWS data services,CI/CD,Python"
2024-06-01,Marketing Analyst ( Lead ), Gurgaon/Gurugram,IGT Solutions,8.0,12.0,,,"Java,Social media,marketing research,corporate communication,Marketing,Content writing,Adobe Analytics,Campaign management,Web analytics"
2024-06-01,Team Lead- Data Analytics," Mumbai,Maharashtra",Innofin Solutions,5.0,7.0,15,30.0,"Unstructured Data,Statistical Analyses,Data Engineering,Power Bi,Predictive Analytics,Data Analytics,SQL,R,Statistical Modeling,Predictive Modeling,Data Science,Tableau,Data Visualization,Machine Learning,Python"
2024-06-01,Remote Google Ads PPC Specialist, Bengaluru,Digital Recipe,3.0,8.0,"70,000",,"Google Ads,Google Analytics,Google AdWords,Pay Per Click,Performance Marketing,Display Advertising,SEM,Paid Media,PPC,Google Sheets,AdWords,Paid Marketing,Search Engine Marketing"
2024-06-01,GN – SONG – MT – Generative AI – Consultant,,unknown,,,,,"Customer satisfaction,Marketing Transformation,Cost reduction,Marketing operations,Data analysis,Content management,Data extraction,Customer service"
2024-06-01,Data Scientist (M Tech), Mumbai,NDS Infoserv,3.0,5.0,6,9.0,"Deep Learning,Natural Language Processing,Data Science,Phd"
2024-06-01,MIS / Data automation/, Delhi / NCR,Apex Consultants,2.0,7.0,2.25,3.5,"Javascript,Data management,Google sheets,Google Apps Script"
2024-06-01,Node.js Application Developer,,unknown,,,,,"Flux,Node.js,IOS,typescript,Android,JavaScript,REST API,React native,Redux"
2024-06-01,Hiring Data Analyst Oracle BI  || Noida || 24 LPA," Noida,Uttar Pradesh, New Delhi,Delhi, Gurugram,Haryana",Imaginators Try Going Beyond,7.0,12.0,10,20.0,"Oracle Business Intelligence,Power Bi,OBIEE,SQL,Oracle BI,Data analyst,Data Management,Oracle,Tableau,Data Visualization,Data Analysis"
2024-06-01,Business Intelligence Analyst, Coimbatore,Kelly Outsourcing and Consulting Group India  Priv   ate Limited,3.0,6.0,,,"Business Intelligence,BI Analyst,statistics,data analysis,python,sql"
