Date,Title,Location,Company,Min Exp,Max Exp,Min Salary,Max Salary,Skills
2024-05-01,"Consultant-HR Data Foundations (Business Analyst, SQL)", Mumbai (All Areas),General Mills,6.0,8.0,,,"Analysts,ETL,SQL"
2024-05-01,Android BSP," Pune,Maharashtra, Bengaluru",Larsen & Toubro (L&T),4.0,9.0,,,"Bootloader,Kernel,Android,Board Bringup,Bsp,HAL"
2024-05-01,Data Analyst - Data Operations," Hyderabad,Telangana, Gurugram,Haryana",S&P Global Market Intelligence,2.0,7.0,,,"Proof Reading,listening,proofing,editing,Transcripts,transcription specialist"
2024-05-01,Senior Software Engineer - (C#.NET), Bangalore/Bengaluru,Beckman Coulter India Pvt Ltd,2.0,3.0,,,"WPF,Prototype,Firmware,Diagnostics,Agile,VC++,Winforms,GIT,WCF"
2024-05-01,Product Manager, Bangalore/Bengaluru,Microsoft,7.0,10.0,,,"Technical support,Customer support,Architecture,Computer science,Product service,Data analysis,Cosmos,Data collection,microsoft,Problem management"
2024-05-01,Data Analyst, Bengaluru,TE Connectivity,3.0,7.0,,,"ETL,Power Bi,SQL,Tableau,Advanced Excel"
2024-05-01,Business Analyst, Gurgaon/Gurugram,IGT Solutions,5.0,8.0,,,"Business Analysis,MS Project,relationship management,fit gap Analysis,change management,Visio,test cases"
2024-05-01,6th Jan _F2F Invitation_Python Test Automation_Harman Bangalore,,unknown,,,,,"Testing,Python,Automation"
2024-05-01,Senior Data Science Engineer - Python/Pandas/Numpy, Delhi / NCR,Alpha Net Consulting,4.0,8.0,,,"Git,Linux,Jupyter,Pandas,Numpy,Data Wrangling,Data Science,Data Visualization,Python"
2024-05-01,Process Associate," Coimbatore,Tamil Nadu",Maxval Ip Services,1.0,5.0,,,"data analyst,Data Processing,Data Management,App Support,PROCESS ASSOCIATE,Data Analysis"
2024-05-01,Design Manager, Bangalore/Bengaluru,Postman,4.0,7.0,,,"Prototype,People management skills,Research,Product design,Data analysis,SAN,Advocate,Usability testing,Management,wireframing"
2024-05-01,Backend Developer,,unknown,,,,,"Open source,Backend,Kubernetes,SQL,API Development,github,Data Science,Programming,Python"
2024-05-01,Principal Security Customer experience engineer, Bangalore/Bengaluru,Microsoft,5.0,11.0,,,"Linux,Project management,Operational excellence,Manager Quality Assurance,microsoft,Data analysis,Windows,Troubleshooting,Networking,Customer service"
2024-05-01,Data Scientist - Phd only, Mumbai,Anurag Electronic Gujarat,0.0,2.0,12,15.0,"Deep Learning,Natural Language Processing,Data Science,Phd"
2024-05-01,Full Stack Developer, Pune,Saama Technologies,3.0,6.0,,,"Web development,Front end,HTML,Customer support,Javascript,Oracle,Agile,Database design,System architecture,Analytics"
2024-05-01,Technology Lead - Sybase DBA," Hyderabad/Secunderabad, Bangalore/Bengaluru",Broadridge,4.0,6.0,,,"Technical support,Performance tuning,Change management,Data analysis,Unix,Database management,query optimization,Disaster recovery,Database administration,Troubleshooting"
