Date,Title,Location,Company,Min Exp,Max Exp,Min Salary,Max Salary,Skills
2024-02-18,Data Scientist/AI or ML Engineer, Chennai,Finsire,4 , 7 ,7,12,"Deep Learning,Artificial Intelligence,Statistical Modeling,Predictive Modeling,Data Science,Machine Learning"
2024-02-18,Customer Success Manager – Cloud,,unknown,,,,,"sql,it infrastructure,budgeting,project management,business objects,html,forecasting,data analytics,client engagement,excel,communication skills,data analysis,presentation skills,customer satisfaction,business analysis,writing,saas"
2024-02-19,Quality and Continuous Improvement Analyst, Hyderabad,Dr Reddys,3 , 6 ,,,"auditing,collaboration,quality management,compliance,software testing,quality assurance,action plan,relationship management,data analysis,continuous improvement,feedback,talent acquisition,recruitment,root cause analysis,communication skills,presentation skills"
2024-02-18,React Native Developer," Bengaluru,Karnataka",Talescope Consulting,3 , 5 ,18,20,"Ios Mobile Development,React Native,Graphql,Redux Framework,Restful Web Api Development,Ios Development,Mobile Application Development,Restful Web,Graphql Apis,Context Api,React Native Apps,Android Application Development,React Native Js,Redux"
2024-02-18,Data Scientist, Kollam/Quilon,Amrita Vishwa Vidyapeetham,2 , 6 ,,,"Social media,Analytical,Research,Statistics,Data analysis,data science,Machine learning,Network analysis,Python"
2024-02-18,Data Scientist - Image Recognition/Machine Learning, Hyderabad/Secunderabad,CARBYNETECH,5 , 10 ,,,"Pytorch,Deep Learning,Hive,Distributed Computing,Hbase,Pig,Time Series Analysis,Artificial Intelligence,Image Recognition,Data Management,Data Scientist,NLP,Machine Learning,Tensorflow,Python,Keras"
2024-02-18,Power BI Developer - Azure/SSIS/SSAS, Hyderabad/Secunderabad,CARBYNETECH,2 , 7 ,,,"DAX Power BI,Azure,Power BI,SSAS,SSIS,Dashboard Tools,Data Analytics,SQL,Data Modeling"
2024-02-18,H1B USA Job - IT Consultants For current year H1B Quota-MJ1, USA,menschForce LLC,0 , 20 ,1,,"Anayst,sap,J2EE,Sharepoint,DevOps,Python,Project management,Social Media,h1b,PM,Developer,Deep tech,QA Testing,Blockchain,Systems Analysts,.NET,Artificial Intelligence,BA,Database,Data Science,EA,greencard,architect,java,automation,networking,Programming,Process Management"
2024-02-18,AWS Data Architect," Bengaluru, Delhi / NCR, Mumbai (All Areas)",Rarr Technologies,2 , 20 ,35,60,"S3,AWS,MongoDB,Data Pipeline,Pyspark,Data Modeling,Aws Glue,Python,Athena"
2024-02-18,SDE 1 - IOS," Bengaluru,Karnataka",Brick&Bolt,2 , 5 ,,,"Swift,iOS,Testflight/Firebase"
2024-02-18,Senior Analyst - Underwriting, Chennai,Firstsource Laboratory Solutions,1 , 5 ,,,"problem solving,project management,compliance,mortgage,sales,leadership,us mortgage,team management,communication skills,credit analysis,insurance underwriting,operations,business analysis,mortgage underwriting,writing,underwriting"
2024-02-18,iOS Developer," Lucknow,Uttar Pradesh",Our client,1 , 2 ,1.75,2,"Cocoa Touch,Ios Development,Apple design,Swift,Ios Framework"
2024-02-18,Placement Oriented Software internship," Kochi,Kerala, Ernakulam,Kerala, Thrissur,Kerala",Irohub Infotech,,,,,"Mobile Development,Python,Bsc,App Development,Web Development,MCA,Mern Stack,Computer Science,FRESHERS,BCA,Software Engineering,IOS,Artificial Intelligence,Data Science,Digital Marketing,Flutter Development,Big Data,Ui/Ux,Development,Machine Learning,Programming"
2024-02-18,Programmer (Dev), Pune,Persistent,3 , 7 ,,,"React Native,Android,iOS,mobile app development,AWS"
