Date,Title,Location,Company,Min Exp,Max Exp,Min Salary,Max Salary,Skills
2024-01-22,Assistant Manager Client Servicing || Mumbai," Mumbai,Maharashtra, Mumbai (All Areas)",IndiaMART,0.0,5.0,4,6.0,"client acquisition,Sales,Sales Executive Activities,Client Meeting,New Business Development,Sales Management,Business Development,B2B Sales,sales presentations,Direct Sales,field sales"
2024-01-22,QA ENGINEER (Manual Tester + Database Testing ), Hyderabad/Secunderabad,Response Informatics,5.0,8.0,,,"Customer satisfaction,Advisory,Test case execution,Database testing,data science,Manual testing,SQL queries,QA,Data analytics,Consulting"
2024-01-22,"Senior Associate, Reltio - Data Engineering", Bengaluru,Sightspectrum Technology Solutions (p) Ltd.,4.0,9.0,15,30.0,"Pharma,MDM,Reltio,ETL"
2024-01-22,Data Analyst - Senior Member of Technical Staff, Bangalore/Bengaluru,VMware,8.0,12.0,,,"Data modeling,Product management,Unit testing,Performance tuning,Python,SQL,Machine learning,Coding,Debugging,VMware"
2024-01-22,Senior Data Scientist," Hyderabad,Telangana",Inovartech,7.0,8.0,,,"Statistics,Revenue Management,Power Bi,VBA,Pricing,Quantitative Analysis,SQL,Statistical Modeling,Tableau,Python Development,Supply Chain Management"
2024-01-22,Lead Analyst, Gurgaon/Gurugram,Resy,2.0,4.0,,,"Operational excellence,MIS,Monitoring,data integrity,Publishing,Career development,Risk management,Operational risk,Finance"
2024-01-22,BI Analytics (SAP Cloud Analytics), Pune,Roche Diagnostics,0.0,15.0,,,"Testing,Technical design,Enterprise applications,Business intelligence,Continuous improvement,SAP,Data analysis,healthcare analytics,Design development,Analytics"
2024-01-22,Software Developer,,unknown,,,,,"Java,Troubleshooting,Enterprise applications,SQL,Oracle,RDBMS,NoSQL,Debugging"
2024-01-22,Senior Business Analyst, Bangalore/Bengaluru,Unisys,5.0,10.0,,,"project life cycle,system development,application design,test scenarios,business analysis,business analyst"
2024-01-22,"Vision System- Python, C/C++, image processing, Video Analytics"," Noida,Uttar Pradesh",MothersonSumi INfotech & Designs (MIND),0.0,15.0,,,"Vision System,C/C++,image processing,Video Analytics,Python"
2024-01-22,Lead Data Engineer(Tech Lead), Pune,Roche Diagnostics,0.0,15.0,,,"Unit testing,Healthcare,JSON,Maven,SQL,Data analysis,XML,System architecture,JIRA,Analytics"
2024-01-22,Software Engineer, Bangalore/Bengaluru,Verint Systems,3.0,5.0,,,"Testing,Statistics,Standard operating procedures,Monitoring,Software development life cycle,Data analysis,Management,Mathematics,Shaping,Verint"
2024-01-22,Data Scientist, Delhi / NCR,Hero Fincorp,3.0,8.0,7,14.0,"Regression,Predictive Analytics,Statistical Modeling,Data Science,Python"
2024-01-22,Data Analyst," Pune,Maharashtra",Bajaj Allianz General Insurance,4.0,5.0,7,9.0,"Power BI,MS Excel,Cloud,SQL,Data Analytics,Python"
2024-01-22,Lead Analyst, Gurgaon/Gurugram,Resy,2.0,4.0,,,"Operational excellence,MIS,Monitoring,data integrity,Publishing,Career development,Risk management,Operational risk,Finance"
2024-01-22,Data Engineering," Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Response Informatics,5.0,9.0,,,"Data structures,Apache,Python,Coding,Scrum,Agile,GCP,Machine learning,Integration testing,Analytics"
2024-01-22,Business Development Executive, Coimbatore,Bakersville,0.0,1.0,,,"Social media,Analytical skills,Business Development Executive,Brand awareness,Data analysis,Lead generation,Market research,Sales strategy,Management,Sales process"
2024-01-22,Supply Chain Data Analyst, Pune,Copeland,0.0,4.0,,,"Strategic planning,ERP,SAP,Data analysis,Logistics,SQL,Oracle,Procurement,MS Access,Analytics"
2024-01-22,Human Resource Manager," Gandhinagar,Gujarat, Tamilnadu, Maharashtra",Sarovar Hotels,3.0,8.0,,,"HR Operations,HR Administration,Human Resource Management,Employee Relations,HR Generalist Activities,Recruitment"
2024-01-22,Senior Business Analyst, Bangalore/Bengaluru,Unisys,5.0,8.0,,,"System development,Business Analysis,Test Design,Application design,Test scenarios"
2024-01-22,London:  Python Developer - Expert /Consultant - BFSI domain x15, United Kingdom (UK),Spectrum Consulting - London,5.0,10.0,20,35.0,"Ruby,Javascript,Ruby Rails,Python"
2024-01-22,Business Development Executive, Belagavi/Belgaum,Bakersville,0.0,1.0,,,"Social media,Analytical skills,Business Development Executive,Brand awareness,Data analysis,Lead generation,Market research,Sales strategy,Management,Sales process"
2024-01-22,ASP . Net Developer MVC / Core, Vadodara,Ittanta Technologies,2.0,7.0,,,"MySQL,SIDE,Front end,HTML,Blackberry,Android,SQL,Oracle,Eclipse,Core Java"
2024-01-22,Asset Data Acquisition Engineer, Gurgaon/Gurugram,Candi Solar,3.0,5.0,,,"Analytical,Asset management,Troubleshooting,Python,Sensors,SQL,SCADA,Solar energy,Communication protocols,Networking"
2024-01-22,Assistant Manager-Internal Audit," Mumbai,Maharashtra"," STAR Bazaar, a TATA & TESCO ENTERPRISE",1.0,5.0,,,"Store Audit,Internal Process Audit,Internal Audit,Process Audit"
2024-01-22,Freelance Tableau Developer, Mumbai,Mobilestyx,3.0,8.0,,,"data extraction techniques,SQL,Oracle,Tableau,Tableau server"
2024-01-22,BI Analytics (SAP BW), Pune,Roche Diagnostics,0.0,15.0,,,"Testing,SAP BW,Technical design,Enterprise applications,Business intelligence,Continuous improvement,Data analysis,healthcare analytics,Design development,Analytics"
2024-01-22,Snowflake Developer- Only Immediate Joiners- Perm Remote," Ahmedabad,Gujarat",Get on Data,3.0,7.0,3,8.0,"Snowflake,Etl Process,Snowpipe,dbt,Airflow,sql,Python,AWS"
2024-01-22,Technical Lead," Bengaluru,Karnataka",UEI Electronics,7.0,9.0,19,20.0,"Android Testing,linux,Software Development,Embedded Development,c/c++,Agile Software Development,Iot Testing,python scripting,Embedded Systems,QA Testing,Android Application Development,Embedded Testing,embedded system testing"
2024-01-22,Senior Data Analyst, Hyderabad/Secunderabad,Sanofi,2.0,4.0,,,"Project management,Pharma,Business strategy,SAS,SPSS,Marketing strategy,Healthcare,Forecasting,Digital marketing,Market research"
