Date,Title,Location,Company,Min Exp,Max Exp,Min Salary,Max Salary,Skills
2024-01-26,GN – SONG – ACE – Genesys – Analyst,,unknown,,,,,"Presales,Social media,Front end,Customer interaction,Cost reduction,orchestration,IVR,Customer service"
2024-01-26,SAP BW/4HANA Data Modeling & Development-Application Developer,,unknown,,,,,"Data modeling,OTC,SAP BW,Logistics,Data analysis,Order management"
2024-01-26,Business Systems Analyst, Gurgaon/Gurugram,Ameriprise Financial,7.0,10.0,,,"Financial services,Asset management,Automation,Computer science,Operations,C++,Content management,Scrum,Production support,Python"
2024-01-26,Decision Science Engineer (Data Analyst)," Bengaluru,Karnataka",Service based Leading Soonicorn in Inter...,1.0,2.0,10,15.0,"Business Intelligence,Power Bi,SQL,Data Visualization,Python"
2024-01-26,Data Analyst, Bangalore/Bengaluru,Conneqt,1.0,3.0,,,"Manager Quality Assurance,metadata,Data mining,Data warehousing,data integrity,data cleansing,Report generation,Data Analyst,Management,Troubleshooting"
2024-01-26,Collibra Data Governance-Data Platform Engineer,,unknown,,,,,"design,blueprint,data governance"
2024-01-26,Business Analyst," Chennai,Tamil Nadu",SRM Technologies,6.0,8.0,,,"Business Analyst,UML,Agile,Waterfall"
2024-01-26,Advanced Embedded System Engineering-Software Development Engineer,,unknown,,,,,"Linux,Unit testing,System engineering,automotive infotainment,Android,Functional testing,Software engineering,Programming,Middleware"
2024-01-26,Business Analyst - MIS, Mohali,Knack Global,1.0,3.0,3,4.5,"Power Bi,excel,Power Pivot,sql queries,business analysis,advance excel,Power Query,data extraction,c#"
2024-01-26,Android Developer," Gurugram,Haryana",Fia Technology Services,5.0,7.0,5.5,8.0,"Ci/Cd,SOAP,Rest,Android,SDK,git,Github,SQL Database"
2024-01-26,Senior Data Architect/Modeler," Pune,Maharashtra",Aispins,7.0,12.0,12,18.0,"Insurance,Life Insurance,Data Cleansing,Data Integration,Data Profiling,Data Management,Data Modeling,Pc Insurance,Data Architecture,Er Studio"
2024-01-26,Software Verification and Validation Engineer, Bengaluru,Allegis Group,4.0,7.0,,,"Test automation,UDS,CAPL,CAN"
2024-01-26,Apple iOS Application Development-Application Developer,,unknown,,,,,"UI development,ios development,Mobile applications,MVC,MVVM,Swift,Programming,Application development"
2024-01-26,Android Application Development-Application Developer,,unknown,,,,,"android application development,Programming,Debugging,SDK"
2024-01-26,Databricks Unified Data Analytics Platform-Data Platform Engineer,,unknown,,,,,"design,Data analytics,blueprint"
2024-01-26,Data Analyst, Delhi / NCR,Donovan Apparels,2.0,5.0,3,5.0,"verbal communication,SQL,vba,mis reporting,Advanced Excel,dashboards"
2024-01-26,Senior Data Engineer, Mumbai,Iclp,5.0,7.0,,,"Financial services,Technical support,Computer science,Python,Scrum,Usage,Agile,Customer engagement,Application development,Analytics"
2024-01-26,Associate Technical Architect - DATA," Pune,Maharashtra",Bitwise Solutions,8.0,12.0,,,"ETL Architect,Data Integration,ETL Architecture,Big Data Technologies,Data Architecture,Data Modeling,Technical Architecture,Data Warehousing"
2024-01-26,Databricks Unified Data Analytics Platform-Software Development,,unknown,,,,,"Data processing,Data management,Data mining,SQL,Data warehousing,RDBMS,Data analytics,NoSQL,Python"
2024-01-26,Data Scientist,,unknown,,,,,"Open source,Hadoop,Packaging,Investigation,Enterprise applications,Data analytics,Python"
2024-01-26,Apache Spark-Application Developer,,unknown,,,,,"Architecture,Logistic regression,Data warehousing,ETL testing,SQL,linear regression,Data analysis,spark"
2024-01-26,Analytics and Modeling Senior Analyst,,unknown,,,,,"cloud security,technology operations,strong analytical skills,SQL,strategy consulting,microsoft power bi,power bi desktop,Excel"
