Date,Title,Location,Company,Min Exp,Max Exp,Min Salary,Max Salary,Skills
2024-01-23,Market Analyst, Chennai,Sabari Group,3.0,5.0,,,"Investment Research,experience in stock market analysis,Investment Analysis,Investment Advisory,Portfolio Management,Equity Analysis,managing shared and family wealth"
2024-01-23,Senior Analyst - ML Platform (Backend)," Hyderabad,Telangana, Chennai,Tamil Nadu, Bengaluru,Karnataka",Tiger Analytics,3.0,6.0,,,"Backend Development,API,Pyspark,Deployment,Data Science,Machine Learning,Python"
2024-01-23,Analytics Specialist – Insights and Intelligence,,unknown,,,,,"Outbound,Automation,Architecture,Artificial Intelligence,Data quality,SQL,Digital marketing,Web analytics"
2024-01-23,Immediate Opening For Data Entry," Mumbai,Maharashtra",OneInsure,0.0,3.0,1,3.0,"Typing Speed,Data Processing,MIS,Typing,Data Entry"
2024-01-23,Senior Content Associate, Gurgaon/Gurugram,Coding Ninjas India,4.0,10.0,,,"Content Associate,Research,C++,data science,Machine learning,Coding,Programming,Python"
2024-01-23,Quality Assurance Manager," Gurugram,Haryana",ReNew Power,5.0,20.0,,,"quality,Quality Audit,Quality Assurance"
2024-01-23,Risk Advisory Internal Audit Executive, Mumbai,KPMG India,1.0,4.0,,,"Analytical,Manager Internal Audit,Cisa,Operations,Data analysis,Risk management,Stakeholder management,Risk assessment,Auditing,remediation"
2024-01-23,Sales Manager, Hyderabad/Secunderabad,Aryng,5.0,10.0,,,"Social media,Analytical,Sales,Technology consulting,Silicon,Service sales,data science,Power supply,Senior Executive,Team management"
2024-01-23,Accounts Executive, Mumbai,High Fliers,4.0,5.0,,,"Complaint handling,Accounts Executive,Cold calling,Data analysis,Database,Sales strategy,Customer experience"
2024-01-23,"Assistant Manager, Customer Experience", Mumbai,Global Industrial,2.0,7.0,,,"MS Outlook,People management skills,Information technology,Logistics,SAP,Data analysis,Operations,Oracle,Supply chain,CRM"
2024-01-23,Sr. MIS Excutive, Bengaluru,Denave,1.0,4.0,6,7.0,"Power Bi,Pivot Table,SQL,MIS Reporting,Advanced Excel"
2024-01-23,"Immediate Joiners – Python Developer + SAS, -EXL Services, Noida",,unknown,,,,,"Matplotlib,SAS SQL,Pandas,Numpy,SAS Macros,Base SAS,Python"
2024-01-23,Executive - Technical, Surat,Reliance Broadcast Network,2.0,4.0,2,3.5,"IT Support,It Technical Support,Network Support,IT Management"
2024-01-23,Business Analyst," Noida, Nagpur",Samta.ai,3.0,5.0,,,"Quantitative techniques,Analytical skills,Business Analyst,Budgeting,Management,Excel"
2024-01-23,Application Developer,,unknown,,,,,"Mobile development,Animation,ios development,Mobile applications,Swift,Application development"
2024-01-23,ALM Users - Data Mining, Bangalore/Bengaluru,Tata Technologies,0.0,3.0,,,"Computer science,Information technology,Manager Quality Assurance,Data mining,SQL,Data analysis,Workflow,JIRA,Process improvement,Troubleshooting"
2024-01-23,Ecom Lead - Magento, Bengaluru,Titan Company,6.0,11.0,,,"PHP,Magento,Ecommerce"
2024-01-23,Product Analyst, Bangalore/Bengaluru,Rocket Learning,4.0,9.0,,,"Product management,Automation,Mining,Product Analyst,SQL,Data analysis,power bi,data visualization,Monitoring,Analytics"
2024-01-23,Sales Executive-Paint Industry," Chennai,Tamil Nadu",MANPOWER GROUP,1.0,2.0,2,3.0,Sales And Marketing
2024-01-23,Hiring For Data Analytics - Manager - Tax Environment, Bengaluru,BDO Rise,9.0,14.0,,,"Alteryx,Data Analytics,Power BI"
2024-01-23,MIS Associate," Chennai,Tamil Nadu",The Indus Valley,1.0,4.0,,,"Data Processing,Database Management System,Data Reporting,Tableau,Data Visualization,Communication Skills,Python,Power Bi,SQL,Data Mining,Advanced Excel,Data Management,VLOOKUP,Excel,Presentation Skills,R,Data Interpretation,Management Information System,Data Analysis"
2024-01-23,Manager – Data AI Specialist,,unknown,,,,,"PySpark,PowerBi,Advanced Analytics,MySql,Artificial Intelligence,Data Analytics,Data Management,Natural Language Processing,PyTorch,RDBMS,NLP,Tableau,Lumira,Machine Learning,Vertex AI,Python"
2024-01-23,Reporting Analyst, Pune,Leading Client,3.0,6.0,,,"Dashboard,VBA,SAP BW,Python,SQL,R,SAC,Lumira,Reports,PowerBI"
2024-01-23,Product Architect, Hyderabad/Secunderabad,Evgateway India,9.0,13.0,,,"Product Architect,OCPP,IOT,Core Java Development,Angular Framework,Restful Web Api Development,Product Development"
2024-01-23,Oracle HCM Cloud BI Reporting and Analytics-Application Lead,,unknown,,,,,"Selection process,Cloud,Training,Oracle,Recruitment"
2024-01-23,Bus Process Delivery Senior Analyst – Campaign Management,,unknown,,,,,"Automation,marketo,salesforce marketing cloud,Marketing operations,CRM,Data analysis,salesforce crm,Direct marketing,Email marketing,Digital marketing,marketing campaigns,campaign development,Campaign management"
2024-01-23,Manager Procurement -  (Packaging Material), Mumbai,Abbott,5.0,10.0,,,"Packaging,Pharma,Material procurement,MIS,Change management,Continuous improvement,SAP,Data analysis,Publishing,RFQ"
2024-01-23,"NPS Prism - Analyst, Commercial Operations", New Delhi,Bain Company India Pvt. Ltd.,1.0,2.0,,,"Analytical,Commercial operations,Research,Operations improvement,alteryx,SQL,Customer experience,Management consulting,Excel,Consulting"
2024-01-23,Assistant Manager - Service Productivity, Bangalore/Bengaluru,Rentokil PCI,3.0,8.0,,,"Project management,Analytical,Customer retention,Data management,Data analysis,Housekeeping,Monitoring,Process improvement,Troubleshooting,Customer service"
2024-01-23,Sales Manager, Gurgaon/Gurugram,Aryng,3.0,5.0,,,"B2B,Analytical,Silicon,Marketing analytics,data science,International sales,Power supply,Sales process,Strategic planning,Consulting"
2024-01-23,Business Analyst," Mumbai, Bangalore/Bengaluru",Akna Medical,1.0,5.0,,,"Data modeling,Hypothesis Testing,Automation,Business Analyst,Python,SQL,Machine learning,Microstrategy,microsoft,Analytics"
2024-01-23,Business Analyst - Regulatory Reporting," Bangalore Rural,Karnataka, Mumbai (All Areas)",PwC Service Delivery Center,7.0,12.0,,,"Mifid,Regulatory Reporting,Transformation Programmes,FFEIC,SQL,LCR,FDIC,NSFR"
2024-01-23,Solutions Architect- Digital Transformation,,unknown,,,,,"Solution Development,Digital Transformation,solutions architect,Solution Design"
2024-01-23,Associate- ESG Research (Sustainability and Data Analytics), Mumbai (All Areas),Churchgate Advisory,1.0,2.0,,,"Excel Powerpoint,English,Research Analysis,Business Communication,Data Research,Data Analysis"
2024-01-23,Business Analyst, Ahmedabad,Cuneiform,1.0,3.0,,,"Project management,Web development,Stakeholder management,PMP,Scrum,CAPM,Agile,Monitoring,Consulting"
2024-01-23,Sql Developer," Hyderabad,Telangana, Bangalore Rural,Karnataka",Motivity Labs,5.0,10.0,10,20.0,"Stored Procedures,ETL,Google Data Studio.,PLX,Analytics,Data Visualization,dashboards,SQL Scripting"
2024-01-23,Business Analyst, Vadodara,Ascendion Engineering,1.0,3.0,,,"Project management,Business Analyst,Leadership training,Cost,Production,User acceptance testing,Management,Junior Staff,Monitoring"
