Date,Title,Location,Company,Min Exp,Max Exp,Min Salary,Max Salary,Skills
2024-01-24,MNC HIRE - C# .net developers (12 Positions) - PREF Immediate Joiners," Hyderabad,Telangana, Bengaluru,Karnataka",MNC CLIENT - HYDERABAD OR BANGALORE,7.0,12.0,20,30.0,"Webservice Development,""API,ASP.Net"",Asp.Net Core"
2024-01-24,MLops Engineer," Hyderabad, Bengaluru",Mondee Tech,4.0,9.0,,,"Ci/Cd,Docker,Azure,Kubeflow,Kubernetes,Github,MLops,GCP,Airflow,AWS"
2024-01-24,Android Developer," Noida, Patna, Kanpur, Supaul",Aryavart Institute Of Technology,1.0,3.0,,,"Unit testing,Computer science,Internship,PDF,Artificial Intelligence,Android,Version control,Machine learning,GIT,Debugging"
2024-01-24,Lead Data Analyst, Chennai,Freshworks,4.0,6.0,,,"MySQL,Analytical,Computer science,Information technology,Python,SQL,Data extraction,Postgresql,GIT,Analytics"
2024-01-24,Product Designer II, Gurgaon/Gurugram,Shell Recharge Solutions,3.0,5.0,,,"Interaction design,Front end,Virtualization,Flex,Data analysis,Software services,Agile,Coding,Scheduling,JIRA"
2024-01-24,Senior Report Engineer, Hyderabad/Secunderabad,Insightsoftware,5.0,10.0,,,"Data modeling,HTML,Unit testing,Business intelligence,Javascript,Manager Quality Assurance,SQL,Data analysis,Oracle,SDLC"
2024-01-24,Software Engineer, Gurgaon/Gurugram,Infinite Computer Solutions India Pvt. Ltd.,2.0,4.0,,,"Testing,Statistics,Standard operating procedures,Monitoring,Software development life cycle,Data analysis,Management,Mathematics,Shaping,Programming"
2024-01-24,Senior Business Analyst, Hyderabad/Secunderabad,Salesforce,5.0,7.0,,,"Data modeling,Business operations,Salesforce,Data quality,ERP,SQL,Business solutions,Usage,CRM,Analytics"
2024-01-24,Business Analyst - Functional / Technical Document Writing," Kenya, Chennai",BTF Group,5.0,10.0,,,"Technical Writing,technical documentation,Due diligence,Technical Document Writing,Business Analyst,Agile Scrum,JIRA"
2024-01-24,Inventory Supervisor," Bhiwandi,Maharashtra, Mumbai (All Areas)",Me N Moms,1.0,4.0,1,3.0,"Warehouse Operations,Supply Chain,Shrinkage Control,Inventory Control"
2024-01-24,Windows Developer, Hyderabad/Secunderabad,Leading Client,1.0,6.0,,,"WPF,Git,C#,T-SQL,SOAP,MS SQL Server,SVN,MS SQL,.Net,Winforms,MVVM,XML,Web API,SQLite Database"
2024-01-24,"Computer Vision Engineer (Pose
Estimation)", Mumbai (All Areas),Qween,2.0,5.0,7,15.0,"Pytorch,Image Processing,Opencv,Object Detection,Python,Computer Vision,2D Pose estimation,Keras,Tensorflow,3D Pose Estimation,Multicam system"
2024-01-24,Urgent Hiring // Business Analyst // Gurgaon," Gurugram,Haryana",Cars24,4.0,9.0,4.75,7.0,"Business Analysis,Power Bi,SQL,Business Analytics,Excel Reporting,Google Sheets,Tableau,Advanced Excel,Bi,Excel,Data Analysis"
2024-01-24,IOS Developer, Kolkata,Navigators Software,2.0,5.0,,,"Manager Technology,Mobile development,Animation,Unit testing,Computer science,IOS,ios development,Mercurial,GIT,Graphics"
2024-01-24,Application Developer: Google Cloud FullStack,,unknown,,,,,"jQuery,Linux,Data structures,Android,SQL,System architecture,Python"
2024-01-24,Senior Associate - Customer Care, Gurgaon/Gurugram,Max Life Insurance,2.0,3.0,,,"Customer satisfaction,Financial services,MIS,Service level,Data analysis,Root cause analysis,human capital,Customer Agent,Query resolution,Sales process"
2024-01-24,Presales Delivery Head," Bangalore Rural,Karnataka",Teliolabs Communication,4.0,16.0,15,30.0,"Presales,Service Delivery Management,Delivery Management,Bid Management"
2024-01-24,"Manager , Network Partnership", Mumbai,Gerson Lehrman Group,0.0,20.0,,,"Product management,Product service,Service quality,Data analysis,Stakeholder management,Recruitment,MS Office,Networking,FMCG"
2024-01-24,Google AI Architect, Mumbai (All Areas),Fulcrum Worldwide Software,0.0,17.0,,,"Snowflake,Google AI,Artificial intelligence,Google Cloud,Machine learning techniques,AI Models,AI solutions,Vertex AI,Python,ML Engg"
2024-01-24,Assistant Manager (Strategy & Data Analyst) - Pan India Location, Mohali,Workoid Consultants.,3.0,8.0,10,12.0,"Corporate Strategy,Power BI,Strategic Management,Market Research,Business Analyst,Business Strategy,Strategy Consulting,Business Planning,Strategic Executive Assistant,Data Analyst,Primary Research,Growth Strategy,Management Consulting,Data Analysis"
2024-01-24,Business Analyst, Mumbai,Iris Business Services,5.0,7.0,,,"Bfsi,Computer science,Manager Quality Assurance,Monitoring,Software development life cycle,Business analysis,Recruitment,Business services,Financial statements,Technical writing"
2024-01-24,Sr. Associate - Impact Solutions," New Delhi, Ahmedabad",Renalysis Consultants,1.0,5.0,,,"Analytical,Cross functional coordination,Analytical skills,Technology solutions,Marketing operations,Social science,Data analysis,Data collection,CSR,Consulting"
2024-01-24,"Officer - Import/Export (Gurgaon/Jhajjar)  Off Roll
"," Jhajjar,Haryana, Gurugram,Haryana",Panasonic Life Solutions,3.0,7.0,4,6.0,"SAP MM Module,Freight forwarders,Import Documentation,Custom Clearance,Export Documentation,Invoice Processing,Import Management"
2024-01-24,Supply Chain Management," Ghaziabad, New Delhi",Sona Machinery,8.0,10.0,,,"Supply chain management,SCM,Manager Quality Control,ERP,SAP,Data analysis,Auditing,Supply chain,Demand forecasting,Raw material"
2024-01-24,Senior/Lead Data Analyst," Bengaluru,Karnataka",ARA Resources,4.0,9.0,13,18.0,"SAS,Power Bi,Loan Process,Banking credit risk,SQL,Data Analyst,Tableau"
2024-01-24,Procurement Analyst, Bangalore/Bengaluru,Yulu Bikes,1.0,2.0,,,"Project management,Analytical,Supply chain management,Product design,Data analysis,Risk management,Machine learning,Market research,Contract management,Procurement Analyst"
