Date,Title,Location,Company,Min Exp,Max Exp,Min Salary,Max Salary,Skills
2024-01-27,Business Process Transformation and Automation Sr Consultant,,unknown,9.0,12.0,,,"Lean six sigma,Business case,Automation,Change management,Business analysis,Six sigma certified,Business transformation,Business process transformation"
2024-01-27,Merchant Loan Sales Team Lead, Bengaluru,RapiPay Fintech,3.0,8.0,6,7.0,"Sales Review,Leadership Skills,Target Achievement,New Client Acquisition,Sales Planning,Revenue Generation,Team Handling,Sales Strategy,Sales Initiatives,Lead Generation,Target Planning,Performance Review,Management Reporting,Data Analysis"
2024-01-27,Job || Hiring For MNC || Song Research || AVP, Bengaluru,Business Consulting and IT Services ,2.0,21.0,,,"Consumer Insights,Thought Leadership,Market Research,Secondary Research,Business Research,Primary Research,Data Visualization,Data Analysis"
2024-01-27,New Associate,,unknown,,,,,"Audit compliance,customer service management,web technologies,Records management,technology operations,Operations,operations audit,strategy consulting,user experience,Customer service"
2024-01-27,"HR Head (University) 20+ years, Blore, Upto 25 lacs", Bengaluru,Talent Bee Consulting,5.0,24.0,20,35.0,"HR Operations,HR Strategy,Corporate HR,HR Analytics,HR Head"
2024-01-27,IT Customer Service New Associate,,unknown,,,,,"Audit compliance,customer service management,web technologies,Records management,technology operations,Operations,operations audit,strategy consulting,user experience,Customer service"
2024-01-27,Data Engineering-Data Platform Engineer,,unknown,,,,,"aws,Data Engineering,mca,design,educational qualification"
2024-01-27,Sr Process Analyst – Risk and Compliance,,unknown,,,,,"Financial services,Due diligence,Data analysis,Process operations,Anti money laundering"
2024-01-27,Natural Language Processing (NLP)-AI Platform Engineer,,unknown,,,,,"deep learning,Backend,Front end,Neural networks,Data mining,Statistical modeling,Natural language processing,Coding,Python"
2024-01-27,Icertis Contract Intelligence ICI Platform Functional-Business Analyst,,unknown,,,,,"problem solving,Research,functional design,Issue resolution,articles,communication skills,Business analysis,organization design,requirement gathering,educational qualification,Troubleshooting,design development"
2024-01-27,Lead ETL Developer," Mumbai,Maharashtra, Pune,Maharashtra",Go Digital Technology,6.0,11.0,,,"ETL,Data Integration,Data Mart,Data Quality,PLSQL,SQL,Data Profiling,Data Modeling,Data Warehousing,Data Analysis"
2024-01-27,Industry Subject Matter Advisor,,unknown,,,,,"SQL,Data analysis,Business analysis,Supply chain,Microsoft applications,Solution design"
2024-01-27,S&C Global Network – AI – SAS Transformation – Manager,,unknown,,,,,"Strategy consulting,Financial services,SAS,Asset management,Reinsurance,Operations,Strategic leadership,RFP,Cost estimation"
2024-01-27,Job || Hiring For MNC || Talent & Org || Research || Team Lead," Gurugram,Haryana, Bengaluru",Business Consulting and IT Services,2.0,7.0,,,"SPSS,Secondary Research,Employee Research,Statistical Tools,Talent Research,Primary Research,Data Visualization"
2024-01-27,Manager - Master Data Management," Navi Mumbai,Maharashtra, Mumbai (All Areas)",Peoplefy Infosolutions,5.0,10.0,,,"Master Data Management,Master Data Validation,MDM,Data Validation"
2024-01-27,Natural Language Processing (NLP)-AI Platform Engineer,,unknown,,,,,"deep learning,Backend,Front end,Neural networks,Data mining,Statistical modeling,Natural language processing,Coding,Python"
2024-01-27,Databricks Unified Data Analytics Platform-Software Development,,unknown,,,,,"Data processing,Healthcare,Data management,Data mining,SQL,Data warehousing,RDBMS,Data analytics,NoSQL,Python"
2024-01-27,Job || Hiring For MNC || Growth & Strategy Research || AVP, Bengaluru,Business Consulting and IT Services,2.0,21.0,,,"Market Research,Insight Generation,Secondary Research,Business Research,Primary Research,Data Visualization,Data Analysis"
2024-01-27,Software Engineer And Developer," Mumbai Suburban,Maharashtra",Artificial Souch Software (a subsidiary of ATelligence Soch Inc.),5.0,7.0,,,"Git,LLM,AI,Gitlab Ci / Cd,Gitlab,SQL,C++,Problem-Solving,QA,Effective Team Management,Agile,ML,Datascience,Team Skills,Analytical Skills,Python,Interpersonal Skills"
2024-01-27,Industry X Robotics-Application Developer,,unknown,,,,,"Scripting,Android,Version control,Robotics,Mechatronics,3D modeling,JIRA"
2024-01-27,Lead ETL Developer," Mumbai,Maharashtra, Pune,Maharashtra",Go Digital Technology,1.0,20.0,,,"ETL,Data Integration,Data Mart,Data Quality,PLSQL,SQL,Data Profiling,Data Modeling,Data Warehousing,Data Analysis"
2024-01-27,Business Requirements Analysis-Business Analyst,,unknown,,,,,"advanced analytics,Research,organization design,business analysis,educational qualification"
