Date,Title,Location,Company,Min Exp,Max Exp,Min Salary,Max Salary,Skills
2024-01-31,iOS Developer (Night Shift), Gurgaon/Gurugram,Gluedin,3.0,6.0,,,"Core Data,Core Graphics,RESTful APIs,iOS frameworks,iOS,performance tuning,Core Animation,VIPER,MVVM"
2024-01-31,Assistant Manager - Internal Audit, Nigeria,Contec Global,6.0,8.0,,,"risk management,risk assessment,auditing,finance,Internal Audit,risk control,audit planning,Auditor,audit"
2024-01-31,Analyst, Bangalore/Bengaluru,Axtria,1.0,3.0,,,"Java,analytics,Python,SQL,data science,Excel"
2024-01-31,Analyst," Bangalore/Bengaluru, Noida, Hyderabad",Axtria,0.0,1.0,,,"Java,analytics,Python,SQL,data science,Excel"
2024-01-31,Test Senior Software Engineer - Enterprise AI Platform, Bangalore/Bengaluru,"Cloudera, Inc.",5.0,8.0,,,"Open source,Apache,Javascript,Python,Performance testing,Workflow,Selenium,Agile,Testing tools,Networking"
2024-01-31,We are looking For Software Engineer,,unknown,,,,,"Native,IOS,React Native"
2024-01-31,Director- MDM, Noida,Axtria,5.0,20.0,,,"Master Data Management,MDM,Reltio"
2024-01-31,"Visa Sponsorship For Software Engineer London, UK."," Hyderabad/ Secunderabad,Telangana, Pune,Maharashtra, Chennai,Tamil Nadu",Saitpoint,7.0,12.0,,,"Java,Google Cloud Services,HTML,Snowflake,GCP,DevOps,Azure Active Directory,Python,AWS,C#,React JS,Data Engineering,Microsoft Azure,Power Bi,Microsoft 365,Testng,C+,Oracle,C,Aws Cloud,Kubernetes,Javascript,Data Science,Big Data,Azure Cloud,Front End Technologies,Terraform"
2024-01-31,Orders & Billings Specialist || Watermark || Mohali," Mohali,Punjab",Watermark,1.0,3.0,,,"accounting,Finance And Accounts,Accounts Payable"
2024-01-31,Application Developer," New Delhi,Delhi",Pyare Lal Prefab,2.0,3.0,,,"Web Designing,User Interface Designing,App development android and ios"
2024-01-31,Director- MDM, Noida,Axtria,5.0,20.0,,,"Master Data Management,MDM,Reltio"
2024-01-31,GIS Data Engineer I," Mumbai, Navi Mumbai",Here Technologies,1.0,4.0,,,"Data processing,Consultancy,GIS,Automation,SQL,Data analysis,Infrastructure,Management,Arcgis,Python"
2024-01-31,Ecommerce Specialist," Bangalore/ Bengaluru,Karnataka",Akya Retail,3.0,6.0,6,8.0,"SEO,Pricing,Product Promotion,Website Management,Catalog Management,Listing,merchandising strategy,conversion rate optimization,Application Management,Promotions,Pricing Strategy,Product Listing"
2024-01-31,Support PMO(T&H Ops)," Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",Tredence,2.0,4.0,,,"QlikView,Presales,SAS,metadata,Data management,Data quality,Data mining,SQL,Machine learning,Python"
2024-01-31,Manager Finance & Accounts, Mumbai (All Areas),Talent Corner Hr Services,5.0,10.0,5,15.0,"Risk Management,Budgeting,Tally,Cash Flow Management"
2024-01-31,Data Management Analyst," Noida, Pune,Maharashtra",Xenneo Tech,5.0,10.0,,,"Java,ETL Tool,Data Privacy,Database System Architecture,Designing And Developing,Data Workflow,Python,database management system,SQL,Ccpa,Collibra,Data curation,Atlassian,MDM,Data Management,Data Quality,Data Security,Data Governance Analyst,Data Governance,Gdpr"
2024-01-31,Junior Auditor - Staff Account Monitoring/AML, Mumbai (All Areas),Hdfc Bank,4.0,5.0,,,"alerts raising,Aml,KYC,internal audit,Bank Audit,Compliance"
2024-01-31,Content Alliances Manager, New Delhi,Delhi Press,2.0,6.0,,,"Retention management,Analytical,Marketing operations,Promotional campaigns,Data analysis,Publishing,Team management,Market research,Relationship building,Customer service"
2024-01-31,Analyst, Noida,Axtria,1.0,3.0,,,"Java,analytics,Python,SQL,data science,Excel"
2024-01-31,Analyst, Hyderabad/Secunderabad,Axtria,1.0,3.0,,,"Java,analytics,Python,SQL,data science,Excel"
2024-01-31,Azure- Machine Learning Engineer, Mumbai (All Areas),Trigyn Technologies,4.0,9.0,,,"Azure Machine Learning,open ai,Machine Learning"
2024-01-31,NetSuite OpenAir Lead, Noida,Axtria,6.0,11.0,,,"erp,Netsuite,Netsuite Erp,Netsuite Implementations,crm"
2024-01-31,NetSuite OpenAir Lead, Delhi / NCR,Axtria,6.0,11.0,,,"erp,Netsuite,Netsuite Erp,Netsuite Implementations,crm"
2024-01-31,Azure- Machine Learning Engineer, Mumbai (All Areas),Trigyn Technologies,4.0,9.0,,,"Azure Machine Learning,open ai,Machine Learning"
2024-01-31,Micro Strategy Developer,,unknown,,,,,"Micro Strategy Development,MSTR,Micro Strategy,Microstrategy Suit,Microstrategy Admin,Microstrategy"
2024-01-31,Senior Data Analyst, Bangalore/Bengaluru,Microsoft,8.0,9.0,,,"Financial analysis,Business intelligence,microsoft,Capacity planning,SQL,Data analysis,Supply chain,Demand forecasting,Strategic sourcing,Networking"
2024-01-31,.Net Developer (Walk In)," Chennai,Tamil Nadu",Infosys,3.0,5.0,,,"WPF,C#,SQL Server,ASP.NET,object-oriented programming,architectural patterns,MVC,.Net,Entity Framework,troubleshooting,WCF,software development process"
2024-01-31,Android Developer, Gurgaon/Gurugram,Gluedin,3.0,6.0,,,"REST APIs,NDK,JSON,Android application,Android Developer,Googles Android design,Kotlin,Android UI design,Android SDK"
2024-01-31,Odoo Developer," Bengaluru,Karnataka",Akya Retail,1.0,3.0,5,10.0,"Odoo Development,Python,ERP Implementation"
2024-01-31,NetSuite OpenAir Lead, Gurgaon/Gurugram,Axtria,6.0,11.0,,,"erp,Netsuite,Netsuite Erp,Netsuite Implementations,crm"
2024-01-31,Hiring Business Analysts only from Telecom Background!!!, Hyderabad/Secunderabad,Evergent Technologies,7.0,12.0,10,20.0,"Telecom Bss,Business Analysis,Telecom Billing"
2024-01-31,Software Engineering IC6, Bangalore/Bengaluru,Microsoft,5.0,17.0,,,"Technical Lead,Principal,Analytical,Computer science,Cloud,Product quality,data science,Web content,Machine learning,microsoft"
2024-01-31,Urgent Opening For DVP & Chief IT Direct and Data Manager., Mumbai (All Areas),One of the leading MNC in India.,2.0,20.0,27.5,35.0,"Business Intelligence,Insurance,SQL,DWH,General Insurance"
2024-01-31,NetSuite OpenAir Lead, Gurgaon/Gurugram,Axtria,6.0,11.0,,,"erp,Netsuite,Netsuite Erp,Netsuite Implementations,crm"
2024-01-31,Walkin For Freshers & Experience -Voice - CS/SD @ Bangalore on 1st Feb, Bengaluru,Infosys BPM,0.0,4.0,,,"Service Desk,Voice,Fresher,Customer Support"
2024-01-31,Business Operations Senior Analyst,,unknown,3.0,5.0,,,"Data structures,Information security,Data processing,Business operations,data privacy,Auditing,ISMS,Power point presentation"
2024-01-31,Micro Strategy Developer,,unknown,,,,,"Micro Strategy Development,MSTR,Micro Strategy,Microstrategy Suit,Microstrategy Admin,Microstrategy"
2024-01-31,MSC Data & User Experience Lead, Mumbai,Mondelez,7.0,9.0,,,"Project management,Analytical,Business continuity,Data management,Business analytics,SQL,Data analysis,Supply chain,Analytics,FMCG"
2024-01-31,NetSuite OpenAir Lead, New Delhi,Axtria,6.0,11.0,,,"erp,Netsuite,Netsuite Erp,Netsuite Implementations,crm"
2024-01-31,Software Engineer - iOS Applications, Haridwar,Rubico IT Private Limited,1.0,5.0,,,"Xcode,SQLite,Mac OS,Mobile SDLC,iOS,SDK,MVC Design Patterns,Objective C,SWIFT,Mobile App Designing,OOPS"
2024-01-31,iOS Developer, Mumbai,Cratas,1.0,4.0,,,"Mobile development,Animation,SQLite,IOS,SSL,SOAP,Agile,C,Swift,Graphics"
2024-01-31,Senior QA Specialist, Pune,PTC,2.0,5.0,,,"sdlc,quality assurance testing,web application,software programming,servicing,leadership,continuous integration,scripting languages,analytical,shell scripting,test automation framework,javascript,communication skills,python,automation testing,environment,software"
2024-01-31,Data Engineer, Pune,Roche Diagnostics,2.0,4.0,,,"Pharma,Automation,Computer science,Manager Quality Assurance,Data quality,SQL,Wellness,RDBMS,Machine learning,Python"
2024-01-31,Marketing Operations Associate- Acquisition, Bengaluru,Games24x7,1.0,3.0,7,10.0,"Performance Marketing,Digital Campaigns,Digital Marketing"
2024-01-31,Senior Engineer - Android Developer (Xamarin)," Navi Mumbai,Maharashtra",I-insight Consulting Llp,6.0,15.0,15,25.0,"Figma,Scrum Development,Xamarin Android,Ui/Ux,Agile Methodology,Mobile Development,testing,Api Integration,Android Application Development,GIT,Debugging"
2024-01-31,Sr Tech Analyst (SQL/Python), Hyderabad/Secunderabad,Roche Diagnostics,4.0,6.0,,,"Technical Analyst,Pharma,Claims,Python,Data management,Data quality,SQL,Data analysis,Business analysis,Analytics"
2024-01-31,Business Analyst Senior Specialist - Risk, Bangalore/Bengaluru,Nasdaq,3.0,6.0,,,"Manager Technology,Training delivery,Selection process,Business Analyst,Stock market,Training,Risk management,Usage,Health insurance,Finance"
2024-01-31,Orders & Billings Specialist || Watermark || Mohali," Mohali,Punjab",Watermark,1.0,3.0,,,"accounting,Finance And Accounts,Accounts Payable"
2024-01-31,Data Analyst / Data Analyst Ecom/ Data Analyst E Commerce, Bengaluru,Data Analyst / Data Analyst Ecom/ Data A...,1.0,6.0,3,7.0,"report,GAPS,Trend,FLIPKART,Tableau,AMAZON,Power Bi,PRICING,Customer Acquisition,SQL,ECOM,category,Growth Strategy,monitor,vendor,Data Management,Customer Analytics,Excel,meesho,Seller,business,customer,MYNTRA,Metrics,MODELS,ECOMMERCE,Data Analyst,DISCOUNTING,Data Analysis"
2024-01-31,Content Alliances Manager, New Delhi,Delhi Press,2.0,6.0,,,"Retention management,Analytical,Marketing operations,Promotional campaigns,Data analysis,Publishing,Team management,Market research,Relationship building,Customer service"
2024-01-31,Analyst, Pune,Axtria,1.0,3.0,,,"Java,analytics,Python,SQL,data science,Excel"
2024-01-31,Manager Finance & Accounts, Mumbai (All Areas),Talent Corner Hr Services,5.0,10.0,5,15.0,"Risk Management,Budgeting,Tally,Cash Flow Management"
2024-01-31,NetSuite OpenAir Lead, Greater Noida,Axtria,6.0,11.0,,,"erp,Netsuite,Netsuite Erp,Netsuite Implementations,crm"
2024-01-31,NetSuite OpenAir Lead, Faridabad,Axtria,6.0,11.0,,,"erp,Netsuite,Netsuite Erp,Netsuite Implementations,crm"
2024-01-31,SEO Executive, Noida,Institute Of Management  Technical Studies Educat Ion,0.0,2.0,,,"SEO,content creation,keyword research,data analysis,content strategy,research analysis,link building"
2024-01-31,Business Analyst Senior Specialist - Risk, Bangalore/Bengaluru,Nasdaq,3.0,6.0,,,"Manager Technology,Training delivery,Selection process,Business Analyst,Stock market,Training,Risk management,Usage,Health insurance,Finance"
2024-01-31,Social Media Manager, Surat,Kyros Solution,3.0,10.0,,,"Social media,Broadcasting,Brand management,Business Development Executive,Brand strategy,Digital marketing,Marketing campaigns,Raw material,Video Editor"
2024-01-31,Android Developer, Mumbai,Cratas,4.0,9.0,,,"android application development,Mobile development,Computer science,Supervision,JSON,Android,Coding,Management,Application development,Proof reading"
2024-01-31,Orders & Billings Specialist || Watermark || Mohali," Mohali,Punjab",Watermark,1.0,3.0,,,"accounting,Finance And Accounts,Accounts Payable"
2024-01-31,Analyst," Pune, Noida, Hyderabad",Axtria,0.0,1.0,,,"Java,analytics,Python,SQL,data science,Excel"
2024-01-31,Client Manager," Kochi,Kerala",Williams Lea India,5.0,7.0,,,"Power Point Presentation,Excel,Client Management"
2024-01-31,Director- MDM, Noida,Axtria,5.0,20.0,,,"Master Data Management,MDM,Reltio"
2024-01-31,Engineering Manager," Bangalore Rural,Karnataka",Redef9skills,0.0,16.0,50,70.0,"Hadoop,Java,ETL,Data Engineering,Spark,Engineering,Engineering Management,SQL,Azure Cloud,Data Modeling,Elt,Technical Architecture,Python,Aws Cloud"
2024-01-31,Actuarial Analyst || Immediate Joiner,,unknown,,,,,"CM1,Actuarial,UAT"
2024-01-31,Sr. Manager - Inventory, Gurgaon/Gurugram,Smartworks,8.0,12.0,,,"Tax invoice,Inventory Executive,Data analysis,Warehouse management,Auditing,Quality check,OPEX,Procurement,Inventory,MS Office"
2024-01-31,Business Analyst, Mumbai,Cratas,1.0,3.0,,,"Project management,Analytical,Process documentation,Effort estimation,EMI,Business planning,Senior management,Operations,JIRA,Analytics"
2024-01-31,NetSuite OpenAir Lead, Delhi / NCR,Axtria,6.0,11.0,,,"erp,Netsuite,Netsuite Erp,Netsuite Implementations,crm"
2024-01-31,Regional Manager," Bangalore Rural,Karnataka",Randstad India Pvt Ltd,2.0,3.0,5,8.5,"Mass Communication,socail science,Science,Law,Statistics,Management,Economics,Social Work"
