Date,Title,Location,Company,Min Exp,Max Exp,Min Salary,Max Salary,Skills
2024-01-28,Cloud Developer, Bangalore/Bengaluru,Eli Lilly And Company,2.0,7.0,,,"System testing,Healthcare,Quality management,Manager Quality Assurance,Continuous improvement,Data analysis,Content management,Technical documentation,Machine learning,Natural language processing"
2024-01-28,Azure Data engineer," Coimbatore,Tamil Nadu, Bengaluru,Karnataka, Mumbai (All Areas)",Course5 Intelligence,3.0,8.0,5,15.0,"Azure Data Lake,SQL Azure,Azure Synapse,Azure data factory,Python,Azure Databricks"
2024-01-28,Architect- PowerBI, Bangalore/ Bengaluru,Tiger Analytics,0.0,16.0,,,"Power Bi,OLAP,SQL,OLTP,Tableau"
2024-01-28,Android Developer (Bangalore), Bengaluru,Talent Corner Hr Services,1.0,3.0,,,"Java,Android Studio,SQLite,React Native,Firebase,android sdk,Kotlin,Android Application Development"
2024-01-28,Software Support,,unknown,,,,,"Open source,Packaging,Software support,Investigation,Training,data science,Natural language processing,Machine learning,Python"
2024-01-28,Gcp Data Engineer,,unknown,,,,,"Bigquery,Google Cloud,GCP"
2024-01-28,Senior Tableau Consultant (Python & SQL)," Hyderabad/Secunderabad, Bangalore/Bengaluru",Tableau Software,5.0,10.0,,,"Technical support,Automation,Change management,Capacity planning,Operations,Data collection,Account management,Troubleshooting,Analytics,Customer service"
2024-01-28,DevOps Engineer with Azure Cloud Experience, Bengaluru,Devon Software Services,8.0,13.0,,,"Docker,Github Actions,Kubernetes,DevOps Tools,Azure Cloud,DevOps"
2024-01-28,RSA Senior Software Engineer - iOS Development, Bangalore/Bengaluru,RSA Security,5.0,7.0,,,"Information security,Animation,Object oriented design,ios development,Android,Software configuration management,Agile,Coding,GIT,Graphics"
2024-01-28,"Specialist, Client Acquisition Services", Pune,Data Axle Solutions,2.0,6.0,,,"Data processing,Law enforcement,Information technology,Data conversion,Service level,Manager Quality Control,SQL,Data analysis,ETL tool,Consulting"
2024-01-28,Lead / Principal iOS Engineer - Mobile SDK, Hyderabad/Secunderabad,Tableau Software,0.0,20.0,,,"Architectural design,Automation,ios development,Manager Quality Assurance,Salesforce,SDK,Agile,Coding,Digital marketing"
2024-01-28,Software System Architect - Backend (OTA & Data Security)," Madurai, Tirupur/Tiruppur, Salem, Chennai, Tiruchirapalli/Trichy, Coimbatore",TVS Motor,8.0,12.0,,,"Linux,MySQL,Backend,HTML,System Architect,Back office,SQL,Unix,Billing,Windows"
2024-01-28,Product Manager, Bangalore/Bengaluru,G2 Crowd,3.0,6.0,,,"Project management,Testing,Analytical,Web development,Data analysis,Agile,Market research,JIRA,Troubleshooting,Analytics"
