Date,Title,Location,Company,Min Exp,Max Exp,Min Salary,Max Salary,Skills
2024-09-01,"Immediate Opening of IOS developer_ MUVI, Bhubaneswar"," Bhubaneswar,Odisha",Muvi Entertainment,4.0,7.0,,,"Swift,Mobile Application Development,Cocoa Touch,Ios Development"
2024-09-01,"Technical Manager Full Stack - Java, j2ee, SpringBoot, Microservices"," Faridabad,Haryana",Mindstech Recruitment,0.0,12.0,,,"Technical Manager Full Stack,Web technologies,Should be comfortable for 80 percent coding,Strong data analysis skills,Java Fullstack,A team player,Solid understanding of REST services"
2024-09-01,Business Analyst, Mumbai (All Areas),HealthIndia Insurance TPA Services,3.0,7.0,2,4.0,"CSV conversion,Java,Front End,IOS,Power Bi,Entity diagram,Data Analysis,Android,Ui/Ux,Internet,window,Data mapping,Sealing,Excel,Bi Tools"
2024-09-01,Subject Matter Expert - Data Science, Mumbai (All Areas),Enhance It,8.0,13.0,20,35.0,"Cloud,SQL,Data Science,Python"
2024-09-01,Product Analyst, Bangalore/Bengaluru,Nasdaq,2.0,4.0,,,"Administration,Competitive intelligence,Release management,Manager Internal Audit,Salesforce,Data analysis,Technical writing,JIRA"
2024-09-01,Insight Analyst, Mumbai (All Areas),Blis,3.0,6.0,6,8.5,"Market Research,Data Cleansing,Data Extraction"
2024-09-01,Gcp Data Engineer-BigQuery, Bengaluru,Infosys,5.0,7.0,,,"Bigquery,Google Cloud Platforms,Google  cloud"
2024-09-01,Business Analyst, Mumbai (All Areas),leading fmcg company,6.0,11.0,10,20.0,"MySQL,Business Analysis,Market Research,Business Analytics,Industry Research,Business Research"
2024-09-01,"SAP Consultant FICO, MM, SD - Mumbai Location", Mumbai (All Areas),Aneja Associates,3.0,8.0,3,8.0,"SAP MM,SAP PP,SAP SD,SAP FICO"
2024-09-01,Senior Software Engineer - React Native, Bangalore/Bengaluru,Servicemax,3.0,7.0,,,"Mobile application development,HTML,Javascript,Android,Scrum,Interpersonal skills,Management,Windows,Debugging"
2024-09-01,Data on Cloud - Azure, Hyderabad,Growel Softech,5.0,10.0,22.5,25.0,"SQL,Azure Data Factory,Python"
2024-09-01,Senior Data Analyst (Operations), Chandigarh,Copeland,2.0,5.0,,,"Performance tuning,SSIS,metadata,PLSQL,SQL,Agile,SSRS,Monitoring,microsoft,Troubleshooting"
2024-09-01,Business Manager, Mumbai (All Areas),Goibibo,2.0,7.0,,,"B2B,Relationship Management,Acquisition,Farming,Data,B2B Sales"
2024-09-01,Dot Net Fullstack Developer,,unknown,,,,,"dot net core,dot net,angular"
2024-09-01,Data Science Engineer 1, Pune,Copeland,2.0,5.0,,,"Data modeling,MATLAB,Manager Quality Assurance,Data management,Data quality,Data analysis,Machine learning,Instrumentation,Python"
2024-09-01,Immediate Hiring For MIS Executive - Andheri Location," Mumbai,Maharashtra",National Carriers Corporation,3.0,8.0,3,4.25,"MIS,MIS Reporting,Macros,Mis Report Preparation,FMS,WFM,Dashboards,Google Forms,Google Sheets,Concatenate,Conditional Formatting,Advanced Excel,Formulas,Google Apps Script"
2024-09-01,Dot Net Fullstack Developer,,unknown,,,,,"dot net core,dot net,angular"
2024-09-01,Data Architect - AWS(Presales ), Remote,Rackspace Technology,0.0,20.0,,,"Data modeling,Presales,SQL,Teradata,Oracle,RDBMS,RFP,Informatica,Application development,Python"
2024-09-01,Spark Scala Developer,,unknown,,,,,"Core Java Programming,Spark Programming,Scala Programming"
2024-09-01,Lead Specialist - Analytics Solutions, Mumbai,Marsh McLennan Companies,3.0,5.0,,,"Actuarial,Analytical,Advisory,Insurance broking,Python,Risk management,IFRS,risk consulting,Analytics"
2024-09-01,Ad Operations Specialist," Pune,Maharashtra",Reliacubed Tech Llp,2.0,5.0,,,Ad Operations
2024-09-01,Lead Data Scientist/ Data Scientist, Bengaluru,Societe Generale,5.0,10.0,,,"Deep Learning,API,Statistical Modeling,Data Science,Data sc,Machine Learning,Python"
2024-09-01,Dot Net Fullstack Developer,,unknown,,,,,"WEB API,DOT NET,ANGULAR,DOT NET CORE"
2024-09-01,Growth Manager - Facebook & Short Video Platforms," Bengaluru,Karnataka",Pocket Fm,3.0,5.0,,,"Growth Marketing,Facebook Marketing,Twitter,Linkedin,Youtube,Instagram,Facebook,Growth Strategy"
2024-09-01,Supply Chain Consultant (Techno Functional)," Bengaluru,Karnataka",o9 Solutions,1.0,5.0,,,"Configuration,Supply Planning,Supply Chain,s&op,SQL,APO,Implementation,Integrated Business Planning,Supply Chain Planning,Demand Planning,Ibp"
2024-09-01,Business Systems Analyst, Bangalore/Bengaluru,Ringcentral,1.0,4.0,,,"Data modeling,Analytical,Change management,Business intelligence,Data management,ERP,Continuous improvement,Operations,Salesforce,Oracle"
2024-09-01,Dot Net Developer," Gwalior,Madhya Pradesh",D-sys Data Solutions Private Limied,3.0,5.0,"50,000",,"WPF,Stored Procedures,Asp.Net Web Api,SQL Server,ASP.Net MVC,Webforms,Entity,Asp.Net Core,MSMQ,Entity Framework,LINQ,WCF,Web Api,ASP.Net"
2024-09-01,Actuarial Analyst || Immediate Joiner,,unknown,,,,,"CM1,Actuarial,UAT"
2024-09-01,Snowflake Developer,,unknown,,,,,"Teradata,Snowflake,Python"
2024-09-01,Associate Document Controller, Gurgaon/Gurugram,McDermott,3.0,8.0,,,"Information management,Offshore platforms,Adobe,Database management system,Archiving,Document management,EDMS,MS Office"
2024-09-01,JV CFO," Chennai,Tamil Nadu",Corning Technologies,5.0,20.0,40,60.0,"US GAAP,Controllership,Reporting"
2024-09-01,Business Intelligence Analyst, Bengaluru,Eclinicalworks,1.0,4.0,,,"Business Intelligence,SQL Scripting,Bi Tools"
2024-09-01,Lead Business Analyst, Bangalore/Bengaluru,Nasdaq,3.0,6.0,,,"Project management,Analytical,Business Analyst,Capital market,Stock exchange,Business analysis,Risk management,Agile,Staffing"
