Date,Title,Location,Company,Min Exp,Max Exp,Min Salary,Max Salary,Skills
2024-01-30,Business Analyst, Gurgaon/Gurugram,Smartworks,2.0,3.0,,,"Variance analysis,Accounting,Analytical,Financial analysis,Financial modelling,Tally,Cost,Cash flow,Revenue recognition,Analytics"
2024-01-30,Gen AI," Pune,Maharashtra, Chennai, Bengaluru",Wipro,6.0,11.0,,,"LLM,NLU,NLP"
2024-01-30,Associate Software Architect, Bangalore/Bengaluru,Spectro Analytical Labs,7.0,10.0,,,"XSLT,Automation,ERP,SQL,MS SQL,XML,Application support,WCF,microsoft,Troubleshooting"
2024-01-30,Healthcare Research & Data Analyst, Bangalore/Bengaluru,Clarivate,3.0,4.0,,,"Healthcare,Quantitative analysis,Supervisor,Training,Data Analyst,Market research,Client support,Secondary research,microsoft,Research Analyst"
2024-01-30,Product Analyst, Gurugram,Airtel,2.0,5.0,,,"Ab Testing,SQL,Customer Analysis,Product Analysis,Impact Analysis"
2024-01-30,Content Marketing - Executive," Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru",Dailyrounds,0.0,2.0,,,"content marketing,Healthcare,Android,Focus,Marketing Executive,AWS"
2024-01-30,Senior Android Developer," Mumbai Suburban,Maharashtra, Navi Mumbai,Maharashtra, Pune,Maharashtra",Quantsapp,4.0,6.0,7,12.0,"Java,MVVM,Kotlin,Api Integration,MVP,Websocket,Third Party Api"
2024-01-30,Data Operations Analyst (Remote)," Pune,Maharashtra",Flosum,5.0,10.0,10,12.0,"Data Cleansing,Data Analysis,Marketing Operations,Marketo,Bi Tools"
2024-01-30,Data Analyst," Hyderabad, Bengaluru",Tavant Technologies,8.0,13.0,,,"Adobe Analytics,SQL,Tableau"
2024-01-30,"Data Analytics Administrator, Support Operations", Mumbai,QAD,3.0,6.0,,,"Administration,Project management,Analytical,Customer support,Information technology,Data management,Business analytics,Data analysis,Data analytics,Intellectual property"
