Date,Title,Location,Company,Min Exp,Max Exp,Min Salary,Max Salary,Skills
2024-01-21,Datawarehouse Project Lead, Bangalore/Bengaluru,ITC Infotech,7.0,11.0,,,"Data migration,Data modeling,Python,Data management,Data mining,Data warehousing,Data analysis,SQL,Agile,Analytics"
2024-01-21,Urgent Hiring For Big 4 Consulting || Data Scientist," Gurugram,Haryana",Big 4 Accounting Firms,3.0,6.0,,,"Cloud,SQL,Data Science,Python"
2024-01-21,Pressure Systems Integrity (PSI) Engineer - H," Pune,Maharashtra",Accenture,7.0,10.0,,,"Refining management,process safety,powerbi,Corrosion management,SAP,Data analysis,Microsoft ADO,process design,NDE,performance management,Pressure system,RBI Methodology,Risk Assessment"
2024-01-21,Business Analyst, Chennai,Citicorp Finance,6.0,10.0,,,"Requirement Gathering,Business Analyst,Client Interaction,Agile methodologies,Good English Communication"
2024-01-21,Android Developer, Bengaluru,Nuveda Learning,1.0,3.0,3,4.0,"Java,Rest,SQLite,JSON,Android,SVN,Kotlin,MVVM,GIT,MVC Architecture"
2024-01-21,Trainee/Officer - IT & Communication, Ahmedabad,Dishman Carbogen Amcis,0.0,2.0,,,"cisco,IT,microsoft,fresher,Office,microsoft teams,webex,ms office"
2024-01-21,Group Product Manager/ Sr. Group Product Manager," Mumbai,Maharashtra",Eris,6.0,11.0,,,"New Product Launch,Product Portfolio,Strategic Marketing Planning,Brand Launch,Product Branding,Product Promotion,GPM,Product Marketing,Product Planning,PMT,Pharma Marketing"
2024-01-21,Software Development Engineer in Test - Mobile," Gurugram,Haryana",Praxis Hr Solution,2.0,7.0,,,"Browserstack,Android Testing,Appium,Xcuitest,Testng,XCode,Mobile Automation,Selenium,Mobile Application Testing,Mobile Automation Testing,SDET,Core Java,Ios Testing"
2024-01-21,Business Analyst Lead, Mumbai (All Areas),Evolutionco,7.0,12.0,12,18.0,"Requirement Gathering,FSD,time management,Requirement Planning,Business Requirement Analysis,Technical Documentation,Requirements Management,User Documentation,Business Analytics,Wireframing,Brd,Use Cases,User Stories,FRD,Client Communication,FRS"
2024-01-21,Senior Data Engineer," Bengaluru,Karnataka",Cimpress Technology,4.0,7.0,,,"Docker,Snowflake,SQL,DBT,AWS,terraform,Looker,Airflow,Databricks"
2024-01-21,UI/UX Developer – Urgent Openings,,unknown,,,,,"Figma,Ui/Ux,Sketch App"
2024-01-21,Cad Designer," Bengaluru,Karnataka",Aditi Consulting,5.0,10.0,,,"Linux,JIRA,Python,CAD"
