Date,Title,Location,Company,Min Exp,Max Exp,Min Salary,Max Salary,Skills
2024-01-17,Loan Administration Analyst," Jalandhar, Ludhiana, Patiala, Amritsar","World Business Lenders, Llc",2.0,5.0,,,"Data modeling,Financial analysis,Loans,Quantitative analysis,Payment processing,Operations,Data analysis,MS Office,Data entry,Excel"
2024-01-17,Technical Analyst- Quality analyst (ITIL), Bangalore/Bengaluru,Computacenter,6.0,10.0,,,"advanced excel,Kaizen,VBA,technical analysis,operations management,Six Sigma,process training,data analysis,Lean,audit management,Quality analysis"
2024-01-17,Senior Software Engineer - Azure Data Engineer, Chennai,CGI,6.0,8.0,,,"Firewall,Release management,Automation,Change management,SQL,Data analysis,TIBCO,JIRA,Production support,Python"
2024-01-17,HoD - Computer Science / Information Science," Mangaluru/Mangalore, Mysore/Mysuru, Bangalore/Bengaluru",Harish K L,5.0,24.0,15,30.0,"HoD,Head of Department,Associate Professor,Teaching,Information Technology,VTU,M.E,MCA,NAAC,Computer Science,NBA,Doctorate,MS,Information Science,Artificial Intelligence,University,Data Science,Professor,Professor Activities,Deep Learning,Phd,M.Tech,ME,Machine Learning"
2024-01-17,SE / SSE / LEAD - Syniti ADM - 2+ yrs - Bangalore / Hyderabad," Hyderabad/Secunderabad, Bangalore/Bengaluru",GSN Consulting,2.0,7.0,10,20.0,"Advanced Data Migration,Data Cleansing,ADM,Profiling,SYNITI ADM,data migration,SYNITI,Data Audits,Data Analysis"
2024-01-17,AI/ML Data Solutions Architect," Bangalore/ Bengaluru,Karnataka",BTC Soft,3.0,16.0,,,"Presales,Excellent Communication In English,Data Engineering,Artificial Intelligence,POC,Natural Language Processing,Data Architecture,Stakeholder Management,Negotiation,Machine Learning"
2024-01-17,Manager Data Analytics,,unknown,,,,,"online marketing,campaign analytics,marketing analytics,business analytics,Data analytics,python,r"
2024-01-17,Senior / Lead Data Engineer," Bangalore Rural,Karnataka",Tech Smcsquared Gcc,5.0,10.0,,,"Snowflake,ETL Tool,DBT"
2024-01-17,Lead Software Engineer - React Native, Kochi/Cochin,Experion,5.0,8.0,,,"jQuery,Front end,Unit testing,JSON,Javascript,Performance testing,CSS3,Product engineering,Debugging"
2024-01-17,Data Analyst, Bangalore/Bengaluru,Leading Client,0.0,20.0,,,"Data warehousing,PLSQL,MS SQL,RDBMS,Data Analyst,C,Db2,Informatica,Data Warehousing"
2024-01-17,System Analyst, Mumbai,Lodha Group,2.0,6.0,,,"Google Analytics,Power BI,Salesforce,SAP,Google Data Studio,Tableau,Cloud Technologies"
2024-01-17,Principal ( Engineering College ), Bangalore/Bengaluru,Reputed Engineering College in Bengaluru...,0.0,20.0,20,35.0,"HoD,Administration,Principal,Information Technology,Dean,VTU,data science,NAAC,Computer Science,NBA,Doctorate,MS,Information Science,Artificial Intelligence,Professor,Academics,Deep Learning,Director,Phd,M.Tech,B.Tech,Machine Learning"
2024-01-17,Sr. Revenue Operations Analyst,,unknown,,,,,"VBA,Vertica,Data management,data analytics,data reporting,Data analysis,SQL,operational support,data visualization,tableau,data mapping"
2024-01-17,IOS Developer, Hyderabad/Secunderabad,Egen Data,5.0,6.0,,,"Testing,Analytical,IOS,SDK,Agile,Conceptualization,Swift,Programming,Debugging"
2024-01-17,Senior IOS Mobile Developer, Pune,Globant,5.0,9.0,,,"Multithreading,IOS,MVVM,Mobile Development,Design Patterns,Swift"
2024-01-17,"Senior Manager, Data Platform", Chennai,Udemy,0.0,12.0,,,"Diversity and Inclusion,infrastructure services,Analytical,Financial planning,Team building,Computer science,Product design,Data quality,Operations,data security"
2024-01-17,Lead IT Analyst, Bangalore/Bengaluru,Honeywell,0.0,12.0,,,"Analytical,Information technology,Time management,Business analysis,Quality standards,Scrum,Microsoft applications,Agile,Test cases,JIRA"
2024-01-17,Application Penetration Tester,,unknown,,,,,"Penetration Testing,Vapt,OWASP,Dast,Vulnerability Assessment"
2024-01-17,Data Scientist (Experience in Azure Cloud & Python)_Bangalore Location," Bengaluru,Karnataka",Adecco Group,8.0,12.0,18,27.5,"Artificial Intelligence,Azure Cloud,Data Scientist,big data,CI/CD deployment,scala,Python"
