Date,Title,Location,Company,Min Exp,Max Exp,Min Salary,Max Salary,Skills
2024-10-01,Data Science Trainer, Chennai,Itvedant,0.0,2.0,2.75,5.0,"Deep Learning,Power Bi,Artificial Intelligence,database,Computer Vision,Data Science,Tableau,Advanced Excel,Machine Learning"
2024-10-01,Middleware Development Engineer,,unknown,,,,,"application development,Android ART,Middleware Development,JVM,quality control,product implementation,Android system,micro-architecture,validation methodology,C++,test case development,program verification,C,software development"
2024-10-01,Data Engineering - QA (App Testing), Gurgaon/Gurugram,Apexon,7.0,10.0,,,"jQuery,Bfsi,Automation,Healthcare,Javascript,Python,XML,Coding,Analytics"
2024-10-01,Software Developer - C++, Bangalore/Bengaluru,Talentica,1.0,3.0,,,"Analytical,Software design,Information technology,Petroleum,Android,C++,SDK,Information technology management,Object oriented programming,Troubleshooting"
2024-10-01,Flutter Developer," Pune,Maharashtra",Radarsoft Technologies,2.0,3.0,4,6.0,"Flutter Development,IOS,Android,Ionic Framework,Mobile Application Development,Flutter"
2024-10-01,Flutter Application Developer," Mohali,Punjab, Chandigarh,Chandigarh",Zinreet Software Solutions,1.0,3.0,,,"MVP,IOS,React Native,Application Development,Android,Mobile Application Development,Dart,Kotlin,MVVM,Swift,Flutter"
2024-10-01,Lead Quality Engineer," Chennai,Tamil Nadu, Bengaluru,Karnataka, Delhi / NCR",Tata Consultancy Services (TCS),8.0,13.0,,,"Manual Testing,Dast,Sast,Accessibility Testing"
2024-10-01,"Adobe AEM, digital analytics technical space"," Bengaluru,Karnataka",Dynpro India,7.0,11.0,,,"jQuery,Adobe Dynamic Tag Manager,digital analytics implementation,digital analytics technical space,JavaScript,digital tag manager tools,Google Tag Manager,Regular Expressions,3rd party tracking implementation,Ensighten,Tealium IQ,iOS Android  Windows"
2024-10-01,"Engineer, Senior - Linux/Android", Hyderabad/Secunderabad,"Qualcomm Technologies, Inc",2.0,6.0,,,"Linux,Computer science,Android,Software development life cycle,C++,SDK,Staffing,Graphics,Programming,Python"
2024-10-01,"Urgent Hiring - Real-time Trainers on SAP, Data Science, AWS, Scrum"," Bangalore/ Bengaluru,Karnataka",ALTEK COMPUTER EDUCATION,7.0,12.0,,,"Azure,Google Cloud Platforms,Artificial Intelligence,Data Analytics,SAP,Auto Cadd,SQL,Oracle,Data Science,Robotics,Devops,Machine Learning,AWS"
